,img_id,meme_text,response
20,490.png,he is proving that grown adults can be a bully,target_group: individualattack_type: Mockingintervention: Mocking someone's intelligence and demonstrating that grown adults can be bullies is unfair and disrespectful. We should strive to create a society that values respect and fairness for all individuals.
21,113.jpg,THIS GIRL IS 21 NOW TIME FLIES,"target_group: genderattack_type: Mockingintervention: Mocking someone's age and gender is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of inclusivity."
22,74.png,my kid threatened to hold his breath until i gave him dessert. he's now passed out on the kitchen floor i don't negotiate with terrorists,target_group: individualattack_type: Mockingintervention: Mocking someone's behavior is unfair and disrespectful. We should strive to create a society that values kindness and respects all individuals.
23,1023.jpg,me:sala kutte jaisi zindagi ho gayi hai *Kutta who is living his life happily*apne saath mat jodiye hum alag hain,"target_group: individualattack_type: Mockingintervention: Mocking someone's identity based on their appearance is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their appearance."
24,2440.jpg,south african cricket team in 2016 south african cricket team in 2019 SCOOPWHOOP.com,target_group: individualattack_type: Mockingintervention: Mocking someone's cricket team is unfair and disrespectful. We should strive to create a society that values and respects all individuals.
25,4608.jpg,sagar how MI sees Rohit sharma how BCCI sees rohit sharma,target_group: individualattack_type: Mockingintervention: Mocking someone's performance based on their performance in a sport is unfair and disrespectful. We should strive to create a society that values and respects all individuals.
26,1239.jpg,Market mein maggi kahan hai? Gaand mein daal liye ho kya maggi saala sab,target_group: otherattack_type: Mockingintervention: Mocking someone's food choices based on their income is unfair and disrespectful. We should strive to create a society that values food and treats everyone with respect.
27,5585.jpg,"she-mai kal tumhare ghar aaungi ludo khelne,taiyar rahna me-","target_group: individualattack_type: Mockingintervention: Mocking someone's sex and sex is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of kindness and respect."
28,1129.jpg,when the half plate is of 70rs & full pkate is 90rs food stall wala you Bsdk..,"target_group: individualattack_type: Mockingintervention: Mocking someone's price range is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting fair pricing."
29,2812.jpg,"Humne unse puchna,Apke dil me jane ka rasta kidhar hai Wo tange faile ke boli aa ghus ja Bsdk",target_group: individualattack_type: Mockingintervention: Mocking someone's language and promoting a culture of disrespect is unfair and disrespectful. We should strive to create a society that values and respects all individuals.
30,4072.jpg,covid RT-PCR test:,target_group: individualattack_type: Mockingintervention: Mocking someone's test results is unfair and disrespectful. We should strive to create a culture that values and respects the diversity of individuals.
31,4460.jpg,My 1st rakshabandhan with my hubby Didi daru me kya milaya tha,target_group: individualattack_type: Mockingintervention: Mocking someone's rakshabandhan is unfair and disrespectful. We should strive to create a society that values and respects each other's uniqueness.
32,3788.jpg,Apna insta account private karke....apni hi pics par #HASHTAG use karne walon ko National level ka chutiya ghosit kar dena chahiye BC,target_group: individualattack_type: Mockingintervention: Mocking someone's Instagram account based on their social media use is unfair and disrespectful. We should strive to create a society that values and respects individuals and their individuality.
33,2770.jpg,When you are pro in licking,target_group: individualattack_type: Mockingintervention: Mocking someone's ability to lick their lips is unfair and disrespectful. We should strive to create a society that values and respects individuals for their unique qualities.
34,3918.jpg,Tum jo bol rhe ho voh thik hai par aayenge toh Modiji hi!,"target_group: individualattack_type: Mockingintervention: Mocking someone's identity based on their appearance is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their appearance."
35,3450.jpg,"Kohli in faaltu matches Kohli in important matches,when team needs him most",target_group: individualattack_type: Mockingintervention: Mocking Kohli in faaltu matches is unfair and disrespectful. We should strive to create a culture of respect and fairness for all individuals.
36,934.png,dear diary today op was a faggot,target_group: genderattack_type: Mockingintervention: Mocking someone's gender is unfair and disrespectful. We should strive to create a society that values equality and respects all individuals.
37,412.png,"thats fucked up, but i like it","target_group: individualattack_type: Mockingintervention: Mocking someone's sex and gender is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of inclusivity."
38,5874.jpg,Me Activating That Demon So That Your Next Semester Could Go Online Too,target_group: individualattack_type: Mockingintervention: Mocking someone's online presence is unfair and disrespectful. We should strive to create a society that values and respects the importance of online learning.
39,788.png,hear us loud and clear we will step over every homeless american to give illegal aliens everything,target_group: individualattack_type: Mockingintervention: Mocking individuals based on their appearance is unfair and disrespectful. We should strive to create a society that values equality and respect for all individuals.
40,5328.jpg,mayur the _humourholic the person the hobby,"target_group: individualattack_type: Mockingintervention: Mocking someone's hobbies and interests is unfair and disrespectful. We should strive to create a society that values and respects individuals, not imposing their preferences."
41,200.png,"someone needs to invent car fax for vaginas ""i have only been with one guy."" ""yeah sure, show me the whorefax.""",target_group: genderattack_type: Mockingintervention: Mocking someone's gender is unfair and disrespectful. We should strive to create a society that values equality and respects all genders.
42,3450.jpg,Mast hai!Apun ko bhi karne ka hai,"target_group: individualattack_type: Mockingintervention: Mocking someone's appearance based on their appearance is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their appearance."
43,3858.jpg,This is the reason why Indian youth is not coming to politics In India In other country,target_group: individualattack_type: Mockingintervention: Mocking individuals based on their political affiliation is unfair and disrespectful. We should strive to create a society that values and respects individuals.
44,3900.jpg,Wife beating husband for not buying groceries! Police beating husband for coming out:Le *husband Hum koi madir ka ghanta hai ki koi bhi aake baja jaata hai,"target_group: individualattack_type: Mockingintervention: Mocking someone for not buying groceries is unfair and disrespectful. We should strive to create a society that values and respects all individuals, regardless of their gender."
45,5499.jpg,Aditya waze deshmukh SP UT Parmaveer ka love letter,"target_group: individualattack_type: Mockingintervention: Mocking someone's name based on their appearance is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their appearance."
46,242.png,how you like me now ?,target_group: otherattack_type: Mockingintervention: Mocking someone based on their appearance is unfair and disrespectful. We should strive to create a society that values and respects individuals.
47,3991.jpg,*6 years old kid *me idhar de..phad ke deta hu..!,"target_group: individualattack_type: Mockingintervention: Mocking someone's age and promoting stereotypes perpetuates harmful stereotypes and perpetuates harmful stereotypes. We should strive to create a society that values and respects individuals, regardless of their age."
48,4822.jpg,whatsapp bandi se milne gaya hai na?sab pata hai mereko,target_group: individualattack_type: Mockingintervention: Mocking someone's phone number based on their phone number is unfair and disrespectful. We should strive to create a society that values and respects each individual's uniqueness.
49,5564.jpg,me turning off the bathroom light when my brother is inside:,"target_group: genderattack_type: Mockingintervention: Mocking someone's behavior based on their gender is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of kindness and respect."
50,120.png,when you catch your goat with another man,"target_group: genderattack_type: Mockingintervention: Mocking someone's gender and attempting to hurt them is hurtful and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of kindness and respect."
51,5541.jpg,Father : My son will become big Doctor or Scientist â€¦Mother: No he'll bracome rich biusnessmanâ€¦Meanwhile son after few years â€¦..à¤•à¥_x0081_à¤› à¤¬à¤¾à¤¤à¥‡  priya anjali rai à¤•à¥‡ à¤¬à¤¾à¤°à¥‡ à¤®à¥‡à¤‚,target_group: individualattack_type: Mockingintervention: Mocking someone's career is unfair and disrespectful. We should strive to create a society that values and respects individuals.
52,1242.png,when you look at your check stub and see how much federal and state took you raggedy bitch,target_group: individualattack_type: Mockingintervention: Mocking someone's financial situation based on their financial status is unfair and hurtful. We should strive to create a society that values fairness and respects the financial situation of all individuals.
53,5838.jpg,Career tension Stress Gharwalo ke taane *Gf,target_group: individualattack_type: Mockingintervention: Mocking someone's career tension is unfair and hurtful. We should strive to create a society that values and respects individuals.
54,5681.jpg,Monish Hardasani @being__bing *best Friend starts coughing* me- RAM BOLO BHAI RAM,target_group: individualattack_type: Mockingintervention: Mocking someone's IQ based on their appearance is unfair and disrespectful. We should strive to create a society that values diversity and respects all individuals.
55,2389.jpg,India GDP contracts A Record 23.9% in April-June Quarter Indian media mujhe kuch nhi dikh rha maa SCOOPWHOOP.com,"target_group: individualattack_type: Mockingintervention: Mocking individuals based on their media coverage is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their media coverage."
56,4360.jpg,Donald trump caught while building his own house after losing election,target_group: individualattack_type: Mockingintervention: Mocking someone's building their own home is disrespectful and disrespectful. We should strive to create a society that values fairness and respects all individuals.
57,3824.jpg,"à¤¦à¤µà¤¾ à¤­à¥€ à¤•à¤¾à¤® à¤¨à¤¾ à¤†à¤_x008f_, à¤¦à¥_x0081_à¤† à¤­à¥€ à¤•à¤¾à¤® à¤¨à¤¾ à¤†à¤_x008f_ à¤¹à¤®à¤¾à¤°à¥€ à¤¹à¥‰à¤Ÿ à¤—à¤°à¥_x008d_à¤²à¤«à¥_x008d_à¤°à¥‡à¤‚à¤¡ à¤•à¥€ à¤¹à¤µà¤¾ à¤­à¥€ à¤•à¤¾à¤® à¤¨à¤¾ à¤­à¤œà¤¨ à¤›à¥‹à¥œ à¤•à¤° à¤¨à¤¿à¤•à¤² à¤ªà¥œà¥‡ à¤¹à¤® à¤ªà¤²à¤‚à¤— à¤¤à¥‹à¥œà¤¨à¥‡ à¤²à¥‡à¤•à¤¿à¤¨ à¤®à¥Œà¤•à¥‡ à¤ªà¤° à¤œà¤®à¤°à¥‡ à¤¹à¤¥à¤¿à¤¯à¤¾à¤° à¤•à¤¾à¤® à¤¨à¤¾ à¤†à¤_x008f_",target_group: organizationattack_type: Mockingintervention: Mocking someone's identity and promoting a harmful culture is unfair and disrespectful. We should strive to create a society that values and respects diversity.
58,4384.jpg,Jaanu kya main hot hu Haan Bohot..KAL se paranthe tujh par hi sekunga BC,"target_group: individualattack_type: Mockingintervention: Mocking someone's physical appearance is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their physical appearance."
59,384.png,i may not be a smart man ilhan but i know what a jew-hating islamist sounds like,"target_group: individualattack_type: Inciting_violenceintervention: Promoting violence against individuals based on their religion is unfair and harmful. We should strive to promote understanding and respect for all individuals, regardless of their beliefs."
60,4552.jpg,"lockdown ke baavjoot jb koi phone pe puche ""kahan hai?"" CHAND PE HAI APUN",target_group: individualattack_type: Mockingintervention: Mocking someone's phone use based on their phone number is unfair and disrespectful. We should strive to create a society that values and respects each individual's uniqueness.
61,1823.jpg,"*When small kids start speaking* Bhai ka, baap ka, dada ka sabka nam bolega re tera bachha",target_group: individualattack_type: Mockingintervention: Mocking someone's language development is unfair and disrespectful. We should strive to create a society that values and respects the uniqueness of each individual.
62,276.png,when the employee asks what bra size you wear,"target_group: genderattack_type: Mockingintervention: Mocking someone's bra size is unfair and disrespectful. We should strive to treat everyone with respect and kindness, regardless of their gender."
63,5170.jpg,when you share netflix password with a friend and he watches panipat inke haath mein sone ka katora dedo phir bhi ye bheek maangenge,target_group: individualattack_type: Mockingintervention: Mocking someone's password and watching Netflix with them is unfair and disrespectful. We should strive to create a culture that values and respects each other's privacy.
64,2772.jpg,Hey devi ye koun sa vastra hai?,target_group: genderattack_type: Mockingintervention: Mocking someone's gender is unfair and disrespectful. We should strive to create a society that values equality and respects all genders.
65,2270.jpg,whole nation fighting pandemic politicians conducting election rallies,"target_group: individualattack_type: Mockingintervention: Mocking individuals based on their political affiliations perpetuates harmful stereotypes and undermines their efforts to promote peace and understanding. We should strive to create a society that values and respects all individuals, regardless of their political affiliation."
66,4472.jpg,Shaka laka boom boom was one of my favourite tv shows,target_group: individualattack_type: Mockingintervention: Mocking someone's favorite show is unfair and disrespectful. We should strive to create a culture that values and celebrates the diversity of television.
67,4997.jpg,employees throughout the year employees during the appraisal season,"target_group: individualattack_type: Mockingintervention: Mocking individuals based on their performance is unfair and disrespectful. We should strive to create a workplace that values and respects individuals, regardless of their performance."
68,5800.jpg,WHEN YOU SPEND 20 LAKH ON YOUR SON'S EDUCATION AND SEE HIM SMOKING HUKKAH LIVE ON INSTAGRAM,target_group: individualattack_type: Mockingintervention: Mocking someone's education and spending 20 Lakh on their son's education is unfair and disrespectful. We should strive to create a society that values education and encourages respect for all individuals.
69,2095.jpg,kaise kaise log rahte hain yahan,target_group: individualattack_type: Mockingintervention: Mocking someone's identity based on their appearance is unfair and disrespectful. We should strive to create a society that values diversity and respects all individuals.
70,5248.jpg,*whatsapp updates privacy policies* internet to zuckerberg:sab janna hai iss Bh*dwe ko,target_group: individualattack_type: Mockingintervention: Mocking individuals based on their privacy practices is unfair and disrespectful. We should strive to create a society that values respect and respect for all individuals.
71,2740.jpg,kya bola? shining in the selling sun like lawda is the lassum cum on feel me,"target_group: individualattack_type: Mockingintervention: Mocking someone's name based on their appearance is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their appearance."
72,2864.jpg,Idhar rakhta mai worlds best bowling attack ko,target_group: individualattack_type: Mockingintervention: Mocking someone's bowling skills is unfair and disrespectful. We should strive to create a society that values and respects all individuals.
73,1984.jpg,can I go now guys,target_group: genderattack_type: Mockingintervention: Mocking someone's gender is unfair and disrespectful. We should strive to create a society that values and respects all genders.
74,774.png,when you find out who's been eating your leftovers,"target_group: individualattack_type: Mockingintervention: Mocking someone's leftovers is unfair and hurtful. We should strive to treat others with respect and kindness, recognizing that everyone's food choices are unique."
75,3229.jpg,whatsapp: we have updated our privacy policy.,target_group: otherattack_type: Mockingintervention: Mocking someone's privacy policy is unfair and disrespectful. We should strive to create a society that values privacy and respects the privacy of others.
76,4494.jpg,Aisa naa humein tum dekho,"target_group: individualattack_type: Mockingintervention: Mocking someone's personal life is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their gender."
77,244.png,stop editing your pics. what if you go missing? how are we gonna find you if you look like barbie on fb and chupacabra in real life?,target_group: individualattack_type: Mockingintervention: Mocking someone's appearance based on their social media accounts is unfair and disrespectful. We should strive to create a society that values and respects individuals for their unique qualities.
78,3882.jpg,"He is surely thinking about other girls...Bc jb mai kuch krta hi nhi hu IPL matches me,phir na jane log mujhe itna badnaam q kiye huye hain??",target_group: genderattack_type: Mockingintervention: Mocking someone's gender is unfair and disrespectful. We should strive to create a society that values equality and respects all genders.
79,1911.jpg,What people think it's like to be tall What really it's like,target_group: genderattack_type: Mockingintervention: Mocking someone's height is unfair and disrespectful. We should strive to create a society that values equality and respects individuals' height.
80,1828.jpg,AM I THE ONLY ONE WHO GET TEMPERED ON SEEING THE WET LOOK OF WOMEN?,target_group: genderattack_type: Mockingintervention: Mocking women's body language is unfair and hurtful. We should strive to create a society that values equality and respects women's bodies.
81,883.jpg,"""Did I lock the Lock?""",target_group: individualattack_type: Mockingintervention: Mocking someone's ability to lock a door is unfair and disrespectful. We should strive to create a society that values and respects individuals for their unique talents and abilities.
82,2788.jpg,You are in Quarantine but your gf knows How to keep you happy,"target_group: genderattack_type: Mockingintervention: Mocking someone's gender and ignoring their feelings is unfair and hurtful. We should strive to treat others with kindness and respect, regardless of their gender."
83,4184.jpg,BADI mehnat se ek ladki patai thi BC pagli ne MCDONALD'S mai jake samosa maang liya,"target_group: individualattack_type: Mockingintervention: Mocking someone's age and comparing them to their own is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of kindness and respect."
84,4388.jpg,Girls after losing 100 Rupees Boys after donating 1500 crore,target_group: genderattack_type: Mockingintervention: Mocking someone's gender and donating money to a charity is unfair and disrespectful. We should strive to create a society that values and respects all genders.
85,4554.jpg,"Pakistan:patient recovers from coronavirus,throws party to 100 people,tested positive again. Gaand fate toh fate par nawabi na ghate",target_group: individualattack_type: Mockingintervention: Mocking someone's health and causing harm to others is unfair and disrespectful. We should strive to create a society that values and respects individuals' health and wellbeing.
86,4998.jpg,sir agar #kashmiroperation main jyada khun kharaba action hoga to script aap mujhe dijiyega aur agar shanti se nipat jaye mamla to script akshay ko de dijiyega,target_group: individualattack_type: Mockingintervention: Mocking someone's actions based on their actions is unfair and disrespectful. We should strive to create a society that values and respects individuals for their unique talents and abilities.
87,280.png,i dont always make sandwiches because im not a woman,target_group: genderattack_type: Mockingintervention: Mocking someone's gender is unfair and disrespectful. We should strive to create a society that values equality and respects all genders.
88,298.png,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,target_group: individualattack_type: Mockingintervention: Mocking someone's ability to remove polish with chemicals is unfair and disrespectful. We should strive to create a society that values and respects individuals for their unique talents and abilities.
89,1913.jpg,This is bit weird,"target_group: individualattack_type: Mockingintervention: Mocking someone's appearance based on their appearance is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their appearance."
90,5590.jpg,Bruh Anthony Mackjie always look like  he konow something about you.,target_group: genderattack_type: Mockingintervention: Mocking someone's gender is unfair and disrespectful. We should strive to create a society that values equality and respects all individuals.
91,3416.jpg,Ye Pakka Paani Nikalegi,"target_group: individualattack_type: Mockingintervention: Mocking individuals based on their appearance is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their appearance."
92,5978.jpg,*When you have fight with your sis & after few minutes she cooks some-thing tasty on but not for you*,target_group: genderattack_type: Mockingintervention: Mocking someone's gender and causing hurtful and hurtful comments is unfair and hurtful. We should strive to create a society that values fairness and respects all genders.
93,5877.jpg,"You're crying for schools to resume, if they do social distancing inside exam hall, will you graduate??",target_group: individualattack_type: Mockingintervention: Mocking someone's academic performance based on their social status is unfair and disrespectful. We should strive to create a society that values and respects all individuals.
94,5670.jpg,When yopu're in someone else's house and poop won't flush,"target_group: individualattack_type: Mockingintervention: Mocking someone's house for a toilet issue is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of kindness and respect."
95,510.png,buckle up sugar tits 'cause i'm about to take you to pound town in the fuck truck,target_group: genderattack_type: Mockingintervention: Mocking someone's gender and causing offence is unfair and disrespectful. We should strive to create a society that values and respects all genders.
96,5286.jpg,babu apne bache ka naam kya rakha jyga babu tum phle class 8th ka exam dedo fir dekhte h,"target_group: individualattack_type: Mockingintervention: Mocking someone's education or achievements is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their educational status."
97,3860.jpg,ya allah raham farma hum bhi tere hi bande hai,"target_group: individualattack_type: Mockingintervention: Mocking someone's ability to use a product or service is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their abilities."
98,3272.jpg,KKR boy fell for MI girl MI boy fell for KKR girl perfect balancedas all things should be,target_group: individualattack_type: Mockingintervention: Mocking someone's gender and promoting stereotypes is unfair and hurtful. We should strive to create a society that values equality and respects all individuals.
99,2100.jpg,"Good win Last night. Always great to meet legends @virat.kohli @abdevilliers17 davidwarma31. What about pics with us in  it @rashid.khan19 rashid.khan19 @davidwarner31 we wuill put tik tok video togather. Fans to warner&rashid khan*Inko cricketer kyu bolte ho,Tiktoker ghosit kyu nahi krdete ",target_group: individualattack_type: Mockingintervention: Mocking someone's performance based on their appearance is unfair and disrespectful. We should strive to promote a culture of respect and understanding for all individuals.
100,1566.png,aaaaaaaaaaaaaah my dick is stuck in the drawer,"target_group: individualattack_type: Mockingintervention: Mocking someone's sex and sex is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of inclusivity and respect."
101,1492.png,chief crooked bone spurs aka donald trump proving you don't have to be poor to be white trash,target_group: individualattack_type: Mockingintervention: Mocking someone's wealth and promoting white trash is unfair and disrespectful. We should strive to create a society that values fairness and respect for all individuals.
102,5632.jpg,12 year old me trying to force two magnets to touch with  the same poles,target_group: individualattack_type: Mockingintervention: Mocking someone's ability to make a magnetic object with two poles is unfair and disrespectful. We should strive to create a society that values respect and fairness for all individuals.
103,4936.jpg,the person hobby,"target_group: individualattack_type: Mockingintervention: Mocking someone's hobby is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their hobbies."
104,2337.jpg,Movies you must ever watch with your parents. MURDER B.A. PASS BAGHBAN KYA KOOL HAI HUM,target_group: otherattack_type: Mockingintervention: Mocking someone's parents' choices is unfair and disrespectful. We should strive to create a society that values and respects the choices of all individuals.
105,1105.jpg,why did you stop loving me? because you never started.,"target_group: individualattack_type: Mockingintervention: Mocking someone's love for someone based on their appearance is unfair and hurtful. We should strive to treat others with kindness and respect, promoting a culture of understanding and empathy."
106,999.jpg,how to make a girl happy with just two things Dairy milk silk fruit & nut new whisper ultra clean lock upto 100%,target_group: genderattack_type: Mockingintervention: Mocking someone's gender is unfair and disrespectful. We should strive to create a society that values and respects all genders.
107,5266.jpg,à¤¦à¥€à¤¦à¥€ à¤•à¥‹ à¤¦à¤¿à¤µà¤¾à¤²à¥€ à¤•à¥‡ à¤ªà¤Ÿà¤¾à¤–à¥‹à¤‚ à¤•à¥‡ à¤§à¥_x0081_à¤_x008f_à¤‚ à¤¸à¥‡ à¤…à¤¸à¥_x008d_à¤¥à¤®à¤¾ à¤¹à¥‹ à¤œà¤¾à¤¤à¤¾ à¤¹à¥ˆ . à¤œà¤¬ à¤¯à¤¹à¥€ à¤ªà¤Ÿà¤¾à¤–à¥‡ à¤¦à¥€à¤¦à¥€ à¤•à¥€ à¤¶à¤¾à¤¦à¥€ à¤®à¥‡à¤‚ à¤œà¤²à¤¾à¤¯à¥‡ à¤œà¤¾à¤¤à¥‡ à¤¹à¥ˆ à¤¤à¥‹ à¤¦à¥€à¤¦à¥€ à¤•à¥‹ à¤…à¤šà¥_x008d_à¤›à¤¾ à¤²à¤—à¤¤à¤¾ à¤¹à¥ˆ | à¤¦à¥€à¤¦à¥€ à¤•à¥‹ à¤¸à¤¿à¤—à¤°à¥‡à¤Ÿ à¤•à¥‡ à¤§à¥_x0081_à¤_x008f_à¤‚ à¤¸à¥‡ à¤­à¥€ à¤•à¥‹à¤ˆ à¤«à¤°à¥_x008d_à¤• à¤¨à¤¹à¥€à¤‚ à¤ªà¥œà¤¤à¤¾ | à¤_x0090_à¤¸à¥‡ à¤•à¥ˆà¤¸à¥‡ à¤¦à¥€à¤¦à¥€ ?!,target_group: individualattack_type: Mockingintervention: Mocking someone's identity and promoting a negative image is unfair and disrespectful. We should strive to create a society that values and respects individuals' identities.
108,4055.jpg,his shadow is coming for you,"target_group: individualattack_type: Mockingintervention: Mocking someone's shadow is unfair and disrespectful. We should strive to create a society that values and respects individuals, regardless of their appearance."
109,5492.jpg,3 baje tak jaagne walo ko ghar ki rakwali krne ki salary do,"target_group: individualattack_type: Mockingintervention: Mocking someone's salary is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of kindness and respect."
110,5992.jpg,"If You Have This , You're My Crush Xavier I also have this but on different place",target_group: individualattack_type: Mockingintervention: Mocking someone's love and passion is unfair and hurtful. We should strive to create a society that values and respects each other's unique qualities.
111,5317.jpg,"Ranjhana is an amazing movie, it passes on an important message that when you get an option to choose between Sonam Kapoor and Sawara Bhasker, you must choose death.",target_group: individualattack_type: Mockingintervention: Mocking someone's choice of death is unfair and disrespectful. We should strive to promote empathy and respect for individuals' choices.
112,5711.jpg,Quarantine day 10: Me nacouraging police for beating everyone on road Khopdi Tod saale Ka,target_group: individualattack_type: Mockingintervention: Mocking someone's actions on the basis of their race is unfair and disrespectful. We should strive to create a society that values equality and respects all individuals.
113,3378.jpg,Many young girls may come and go But Aunties will be all time favorites for boyz,target_group: genderattack_type: Mockingintervention: Mocking someone's gender and promoting stereotypes perpetuates harmful stereotypes and perpetuates harmful stereotypes. We should strive to create a society that values and respects all genders.
114,5357.jpg,China Blocks Narendra Modi'd website Modi ji:- Ruk teri MAA Ch*** hai mein,target_group: individualattack_type: Mockingintervention: Mocking someone's website based on their political affiliation is unfair and disrespectful. We should strive to create a society that values and respects all individuals.
115,2732.jpg,Thank you Madam Ji Aakash Dey Avi tere naam se hi gand dhoyegi chinta mt kr,"target_group: individualattack_type: Mockingintervention: Mocking someone's name based on their appearance is unfair and disrespectful. We should strive to treat others with kindness and respect, promoting a culture of kindness and respect."
